Text,Label
Trying hard for clout but it's not working. 🚫 [Post ID: IG68592],Dissing
Your comment gave me brain damage. [Instagram] 9876,Flaming/Trolling
Come back when you have a real argument. [Instagram] 6030,Flaming/Trolling
This is why I lost faith in humanity. — Posted via Android [Comment ID: FB85115],Dissing
"Keep crying, it's entertaining. [Discord] 2501",Flaming/Trolling
"Is this satire or are you serious? Either way, yikes. [Tweet ID: 171717]",Dissing
Try harder next time. That was weak. (8794),Dissing
I can't believe I used data to read this. [Tweet ID: 566311],Dissing
Just say you want attention and go. — Posted via Web [Comment ID: FB16033],Dissing
"Your voice is so annoying, shut up. [Discord] 7720",Harassment
You're a joke. Option conference look enter forget pull rich health official per answer true everyone entire.,Harassment
You're the worst YouTuber I've ever seen. 😑,Flaming/Trolling
This post screams 'try hard'. 🙃 [Post ID: IG35048],Dissing
Do the internet a favor and stop uploading. 🤦 no cap,Flaming/Trolling
You're ugly and talentless. [Discord] 1671,Harassment
Is that the best roast you got? [Facebook] 1129,Flaming/Trolling
You tried way too hard and still failed. 🤡 [Post ID: IG45642],Dissing
You're proof that Wi-Fi shouldn't be free. (5656),Dissing
"This is cringe, stop posting. [Instagram] 5078",Harassment
You sound like a dying animal. [Facebook] 5457,Harassment
You're trending... for all the wrong reasons. [Tweet ID: 513976],Dissing
"You're so dumb, how do people even watch you? [Facebook] 7990",Harassment
"Every time you speak, I lose brain cells. (7014)",Dissing
"Bro, Why does this exist? Utter garbage. 🙄",Flaming/Trolling
"Your voice is so annoying, shut up. [Instagram] 8636",Harassment
"Your voice is so annoying, shut up. [Instagram] 8042",Harassment
You're a joke. Tonight serious outside mean bad ahead whom.,Harassment
You're consistent—consistently bad. [Comment ID: 3786],Dissing
Block me if you're scared. Manage Mrs through design away number price.,Harassment
You're proof that Wi-Fi shouldn't be free. (3124),Dissing
Your comment gave me brain damage. [Discord] 1671,Flaming/Trolling
Please stop. For the sake of humanity. [Comment ID: 9138],Dissing
Did your cat walk on your keyboard? [Discord] 6798,Flaming/Trolling
Your aesthetic is just chaos and confusion. 💀 [Post ID: IG66610],Dissing
"Delete your channel, save us the pain. 😑 💯",Flaming/Trolling
Is that the best roast you got? [Instagram] 4228,Flaming/Trolling
"Keep crying, it's entertaining. [Facebook] 4318",Flaming/Trolling
"No one likes you, just quit already. [Facebook] 6956",Harassment
This is the worst thing I've ever seen. [Discord] 6630,Harassment
Please stop tweeting. Church later walk space wall final.,Harassment
Ratio. No one's agreeing with you. (4814),Dissing
"You're so dumb, how do people even watch you? [Facebook] 2442",Harassment
You're the human version of a pop-up ad. — Posted via Android [Comment ID: FB99668],Dissing
This caption is a whole joke. 🚫 [Post ID: IG68705],Dissing
"This is cringe, stop posting. [Discord] 3604",Harassment
You just wasted everyone's time with this. — Posted via iPhone [Comment ID: FB10802],Dissing
This is why no one takes you seriously. (2051),Dissing
Did you film this with a potato? — Posted via Android [Comment ID: FB73951],Dissing
You must be fun at parties… not. [Instagram] 7558,Flaming/Trolling
You're the reason the internet is trash. [Discord] 7584,Flaming/Trolling
Delete your account. Whether respond bad environment when.,Harassment
Cringe level: maximum. [Comment ID: 7229],Dissing
Internet would be a better place without this. — Posted via Android [Comment ID: FB84001],Dissing
How do you have any followers? [Facebook] 6816,Harassment
"Your voice is so annoying, shut up. [Facebook] 8548",Harassment
This thread is a horror story. [Tweet ID: 281833],Dissing
You have no clue what you're talking about. Image the building will day set answer.,Harassment
I can't believe I used data to read this. [Tweet ID: 416102],Dissing
This is why no one takes you seriously. (3128),Dissing
You're the reason the internet is trash. [Facebook] 1381,Flaming/Trolling
No one asked for this. — Posted via Android [Comment ID: FB33633],Dissing
Your comment gave me brain damage. [Facebook] 4765,Flaming/Trolling
Cringe level: influencer. 👎 [Post ID: IG23622],Dissing
You're the reason the block button exists. (9912),Dissing
Why do you even try? You're pathetic. [Instagram] 7643,Harassment
You should be banned for this one. [Tweet ID: 105050],Dissing
"Keep crying, it's entertaining. [Facebook] 7631",Flaming/Trolling
You just tweeted pure nonsense. — Posted via Android [Comment ID: FB33047],Dissing
You're the final boss of cringe. (2746),Dissing
"Your voice is so annoying, shut up. [Discord] 4502",Harassment
Keep embarrassing yourself. Them prepare international create school.,Harassment
"You're not edgy, just annoying. [Tweet ID: 965557]",Dissing
Please stop tweeting. Black a line growth method story almost.,Harassment
You must be fun at parties… not. [Instagram] 7770,Flaming/Trolling
"Wow, You're trying so hard and still failing.  smh",Flaming/Trolling
Imagine thinking you're right. Couldn't be me. (8859),Dissing
Nobody cares about your opinion. [Discord] 7495,Harassment
"You're so dumb, how do people even watch you? [Facebook] 8316",Harassment
This is the worst thing I've ever seen. [Discord] 1489,Harassment
Trying hard for clout but it's not working. 👎 [Post ID: IG73795],Dissing
"This is cringe, stop posting. [Facebook] 1205",Harassment
Even silence is better than your voice. [Comment ID: 7388],Dissing
This is the worst thing I've ever seen. [Facebook] 8419,Harassment
"Keep crying, it's entertaining. [Discord] 5171",Flaming/Trolling
"Try harder next time, clown. [Instagram] 9693",Flaming/Trolling
"Dude, This video is trash, just like your channel. 😆",Flaming/Trolling
You sound like a dying animal. [Facebook] 4824,Harassment
Did your cat walk on your keyboard? [Facebook] 7991,Flaming/Trolling
A moment of silence for your dignity. [Tweet ID: 495604],Dissing
"You're not funny, you're just loud. (2310)",Dissing
This caption is a whole joke. 🤡 [Post ID: IG42608],Dissing
"Nice try, keyboard warrior. [Instagram] 3718",Flaming/Trolling
Your content is the reason the mute button exists. — Posted via Android [Comment ID: FB66148],Dissing
You're the reason the internet is trash. [Discord] 8623,Flaming/Trolling
"Honestly, Literally no one asked for this garbage.  ngl",Flaming/Trolling
Why do you even try? You're pathetic. [Instagram] 7164,Harassment
You're the reason the internet is trash. [Facebook] 1463,Flaming/Trolling
You sound like a dying animal. [Facebook] 2016,Harassment
You seriously think this is good? LOL. — Posted via iPhone [Comment ID: FB33811],Dissing
A clown emoji isn't enough. You need the whole circus. [Tweet ID: 710014],Dissing
Delete this before it embarrasses you more. 💀 [Post ID: IG28249],Dissing
Nobody cares about your opinion. [Discord] 3832,Harassment
"Every time you speak, I lose brain cells. (9886)",Dissing
"Bro, Imagine thinking this was good content. 🤦 smh",Flaming/Trolling
You really thought this was a good take? [Instagram] 1765,Flaming/Trolling
"Your voice is so annoying, shut up. [Discord] 1535",Harassment
How do you have any followers? [Discord] 6507,Harassment
Not even your followers liked this. 👎 [Post ID: IG55889],Dissing
Your comment gave me brain damage. [Discord] 4855,Flaming/Trolling
"This is cringe, stop posting. [Instagram] 7602",Harassment
Is that the best roast you got? [Instagram] 6538,Flaming/Trolling
Come back when you have a real argument. [Discord] 8019,Flaming/Trolling
"Try harder next time, clown. [Instagram] 1762",Flaming/Trolling
Did your cat walk on your keyboard? [Facebook] 2146,Flaming/Trolling
"No one likes you, just quit already. [Instagram] 7572",Harassment
You peaked at being terrible. [Comment ID: 2272],Dissing
"This video is trash, just like your channel. 💀 no cap",Flaming/Trolling
Every reply to this is just people facepalming. [Tweet ID: 779339],Dissing
This tweet gave me a virtual rash. [Tweet ID: 184749],Dissing
I can't believe I used data to read this. [Tweet ID: 735620],Dissing
"You're not funny, you're just loud. (6434)",Dissing
"Keep crying, it's entertaining. [Instagram] 3111",Flaming/Trolling
I had secondhand embarrassment reading this. [Tweet ID: 246209],Dissing
"Keep crying, it's entertaining. [Instagram] 6991",Flaming/Trolling
You're not going viral for the right reasons. 🤡 [Post ID: IG51754],Dissing
You tried way too hard and still failed. 🚫 [Post ID: IG53942],Dissing
You're ugly and talentless. [Instagram] 4045,Harassment
Who even gave you the idea you could make content? 😑,Flaming/Trolling
You're ugly and talentless. [Facebook] 2005,Harassment
How do you have any followers? [Facebook] 6301,Harassment
This caption is a whole joke. 🤡 [Post ID: IG99606],Dissing
Is that the best roast you got? [Discord] 3951,Flaming/Trolling
You're the reason the internet is trash. [Discord] 8023,Flaming/Trolling
"Dude, I lost brain cells watching this. 🤦 smh",Flaming/Trolling
Is that the best roast you got? [Instagram] 5903,Flaming/Trolling
Trying hard for clout but it's not working. 🙃 [Post ID: IG80187],Dissing
"Your voice is so annoying, shut up. [Discord] 2459",Harassment
"Nice try, keyboard warrior. [Discord] 9160",Flaming/Trolling
"You're so dumb, how do people even watch you? [Facebook] 8177",Harassment
Block me if you're scared. Though road support thus member follow describe officer challenge specific fight group.,Harassment
Is that the best roast you got? [Discord] 3221,Flaming/Trolling
This is a masterclass in how not to create content. [Comment ID: 3358],Dissing
"This is cringe, stop posting. [Instagram] 6701",Harassment
This is the worst thing I've ever seen. [Facebook] 8511,Harassment
Please stop tweeting. Reveal brother consider body.,Harassment
"Wow, Delete your channel, save us the pain. 🙄 lmao",Flaming/Trolling
Internet would be a better place without this. — Posted via Android [Comment ID: FB76464],Dissing
Your opinions are factory-made bad. — Posted via iPhone [Comment ID: FB82492],Dissing
Delete your account. Treatment note main natural hotel around.,Harassment
Why do you even try? You're pathetic. [Discord] 4989,Harassment
Please log off forever. — Posted via Web [Comment ID: FB42379],Dissing
Did your cat walk on your keyboard? [Discord] 3689,Flaming/Trolling
Cringe level: influencer. 🙃 [Post ID: IG16221],Dissing
Why does this exist? Utter garbage. 😑 ngl,Flaming/Trolling
"This is cringe, stop posting. [Discord] 8757",Harassment
Imagine being this dumb. American style floor heart movie pay blue.,Harassment
Why do you even try? You're pathetic. [Discord] 3797,Harassment
Imagine being this wrong and still confident. Heart region thought common.,Harassment
"Every time you speak, I lose brain cells. (6929)",Dissing
Why don't you just quit already? Mind something similar ten involve thousand.,Harassment
Did your cat walk on your keyboard? [Discord] 4013,Flaming/Trolling
Why does this even exist? — Posted via iPhone [Comment ID: FB41430],Dissing
You're out here posting like it's 2010. 🙃 [Post ID: IG42576],Dissing
"Dude, Cringe overload, stop posting. 😆 💯",Flaming/Trolling
"No one likes you, just quit already. [Discord] 3470",Harassment
This is the worst thing I've ever seen. [Discord] 4016,Harassment
"You're so dumb, how do people even watch you? [Instagram] 2011",Harassment
"Honestly, Delete your channel, save us the pain. 😆 💯",Flaming/Trolling
"Bro, your takes are so bad they give me brain damage. (8614)",Dissing
Every word here is a mistake. — Posted via Android [Comment ID: FB34642],Dissing
"Keep crying, it's entertaining. [Facebook] 5745",Flaming/Trolling
You sound like a dying animal. [Instagram] 7471,Harassment
Is that the best roast you got? [Instagram] 2674,Flaming/Trolling
Did you film this with a potato? — Posted via iPhone [Comment ID: FB65441],Dissing
You're trending... for all the wrong reasons. [Tweet ID: 331730],Dissing
This caption is a whole joke. 🤡 [Post ID: IG22774],Dissing
You sound like a dying animal. [Instagram] 5259,Harassment
Keep embarrassing yourself. Lay current newspaper college way away wish ask.,Harassment
You sound like a dying animal. [Discord] 7214,Harassment
How did you manage to post this unironically? 😬 [Post ID: IG54726],Dissing
You sound like a dying animal. [Instagram] 1520,Harassment
The vibes are off and so is the lighting. 👎 [Post ID: IG26392],Dissing
Please log off. [Tweet ID: 561077],Dissing
Come back when you have a real argument. [Instagram] 9837,Flaming/Trolling
"You're so dumb, how do people even watch you? [Discord] 7058",Harassment
You're trending... for all the wrong reasons. [Tweet ID: 168029],Dissing
Why do you even try? You're pathetic. [Instagram] 3675,Harassment
You tried way too hard and still failed. 👎 [Post ID: IG65965],Dissing
You must be fun at parties… not. [Facebook] 3249,Flaming/Trolling
You're like a glitch in the group chat. (3391),Dissing
"Bro, Classic example of what NOT to do on YouTube. 💀 ngl",Flaming/Trolling
I lost brain cells watching this. 😆 ngl,Flaming/Trolling
You out here typing like anyone cares. (1871),Dissing
"When talent was given out, you clearly overslept. — Posted via iPhone [Comment ID: FB17494]",Dissing
You've officially outdone yourself—in a bad way. — Posted via iPhone [Comment ID: FB57135],Dissing
"This is cringe, stop posting. [Discord] 1531",Harassment
Even your hashtags are embarrassed. 💀 [Post ID: IG76447],Dissing
"Try harder next time, clown. [Instagram] 3171",Flaming/Trolling
"Nice try, keyboard warrior. [Discord] 7522",Flaming/Trolling
Every second of this video was torture. 🤦 smh,Flaming/Trolling
Did your cat walk on your keyboard? [Instagram] 9625,Flaming/Trolling
This is the worst thing I've ever seen. [Instagram] 5931,Harassment
Stop using Wi-Fi to post this nonsense. 👎 [Post ID: IG70515],Dissing
"Wow, You're trying so hard and still failing. 😑 💯",Flaming/Trolling
You sound like a dying animal. [Facebook] 3257,Harassment
"This is cringe, stop posting. [Facebook] 2494",Harassment
Keep embarrassing yourself. Computer very book especially herself.,Harassment
Trying hard for clout but it's not working. 💀 [Post ID: IG77443],Dissing
"Your voice is so annoying, shut up. [Facebook] 7347",Harassment
"Bro, I lost brain cells watching this.  no cap",Flaming/Trolling
You're ugly and talentless. [Facebook] 9916,Harassment
Come back when you have a real argument. [Facebook] 7715,Flaming/Trolling
This take is so bad it gave me a headache. [Tweet ID: 563338],Dissing
How do you have any followers? [Facebook] 6331,Harassment
"You're not iconic, you're just loud. 🚫 [Post ID: IG57040]",Dissing
You're ugly and talentless. [Discord] 2601,Harassment
Delete this before it embarrasses you more. 😬 [Post ID: IG29647],Dissing
How did you manage to post this unironically? 💀 [Post ID: IG48807],Dissing
How do you have any followers? [Discord] 7829,Harassment
I need a refund on the time I spent reading this. — Posted via iPhone [Comment ID: FB11725],Dissing
This post gave me a headache. — Posted via Android [Comment ID: FB17190],Dissing
You must be fun at parties… not. [Facebook] 3013,Flaming/Trolling
This is the worst thing I've ever seen. [Instagram] 4541,Harassment
"No one likes you, just quit already. [Facebook] 1836",Harassment
You're proof that Wi-Fi shouldn't be free. (2499),Dissing
Nobody cares about your opinion. [Discord] 5435,Harassment
Nobody cares about your opinion. [Facebook] 9585,Harassment
Try harder next time. That was weak. (6912),Dissing
Block me if you're scared. Significant truth today dinner return reach during accept.,Harassment
You're the reason the internet is trash. [Instagram] 1456,Flaming/Trolling
The block button just got promoted. [Tweet ID: 206377],Dissing
I can't believe people like this still exist. — Posted via iPhone [Comment ID: FB37289],Dissing
You must be fun at parties… not. [Facebook] 8931,Flaming/Trolling
This post screams 'try hard'. 😬 [Post ID: IG38099],Dissing
Your comment gave me brain damage. [Facebook] 8580,Flaming/Trolling
Even silence is better than your voice. — Posted via Android [Comment ID: FB70153],Dissing
You're ugly and talentless. [Discord] 6098,Harassment
You're not him. Never were. [Tweet ID: 127235],Dissing
"Wow, You're trying so hard and still failing. 😆 ngl",Flaming/Trolling
"You're so dumb, how do people even watch you? [Instagram] 4620",Harassment
You sound like a dying animal. [Facebook] 8676,Harassment
How do you have any followers? [Discord] 3163,Harassment
You're not going viral for the right reasons. 😑 [Post ID: IG52312],Dissing
Even the algorithm gave up on you. 😑 [Post ID: IG83643],Dissing
You must be fun at parties… not. [Instagram] 4624,Flaming/Trolling
This take is so bad it gave me a headache. [Tweet ID: 262523],Dissing
You really thought this was a good take? [Facebook] 5296,Flaming/Trolling
"This is cringe, stop posting. [Discord] 6574",Harassment
This is the worst thing I've seen today. — Posted via iPhone [Comment ID: FB44853],Dissing
Imagine thinking this was good content. 😂 lmao,Flaming/Trolling
You're ugly and talentless. [Facebook] 5192,Harassment
I want my time back after reading this. [Tweet ID: 180933],Dissing
Your takes get worse every day. [Tweet ID: 724226],Dissing
"Nice try, keyboard warrior. [Instagram] 6220",Flaming/Trolling
"No one likes you, just quit already. [Instagram] 8391",Harassment
You're proof that Wi-Fi shouldn't be free. (2391),Dissing
Imagine thinking you're right. Couldn't be me. (5895),Dissing
"Your voice is so annoying, shut up. [Facebook] 4635",Harassment
You're not going viral for the right reasons. 🤡 [Post ID: IG12005],Dissing
This is the worst thing I've ever seen. [Discord] 3307,Harassment
You must be fun at parties… not. [Facebook] 7898,Flaming/Trolling
Go outside. Talk to people. [Tweet ID: 789904],Dissing
Try harder next time... or maybe don't. — Posted via iPhone [Comment ID: FB53877],Dissing
Your comment gave me brain damage. [Facebook] 6568,Flaming/Trolling
Come back when you have a real argument. [Instagram] 3132,Flaming/Trolling
A moment of silence for your dignity. [Tweet ID: 942411],Dissing
The filter can't hide your bad content. 🤡 [Post ID: IG90575],Dissing
Even silence is better than your voice. — Posted via Android [Comment ID: FB16514],Dissing
"Try harder next time, clown. [Instagram] 5788",Flaming/Trolling
"You're not iconic, you're just loud. 🤡 [Post ID: IG65870]",Dissing
"No one likes you, just quit already. [Discord] 8385",Harassment
This tweet gave me a virtual rash. [Tweet ID: 960330],Dissing
Delete your account. Center finally key must sign ability.,Harassment
This is the worst thing I've ever seen. [Facebook] 4305,Harassment
Nobody cares about your opinion. [Discord] 1549,Harassment
Instagram should charge you for this post. 🚫 [Post ID: IG20927],Dissing
Why do you even try? You're pathetic. [Instagram] 3815,Harassment
You must be fun at parties… not. [Instagram] 4163,Flaming/Trolling
"Keep crying, it's entertaining. [Instagram] 1087",Flaming/Trolling
You really thought this was a good take? [Instagram] 1966,Flaming/Trolling
Bold of you to assume this is content. [Tweet ID: 693453],Dissing
"No one likes you, just quit already. [Facebook] 6080",Harassment
How do you have any followers? [Discord] 5462,Harassment
"Your voice is so annoying, shut up. [Facebook] 5406",Harassment
You're the reason the internet is trash. [Instagram] 9322,Flaming/Trolling
You sound like a dying animal. [Facebook] 5490,Harassment
I showed this to my dog. He walked away. — Posted via Web [Comment ID: FB11598],Dissing
You really thought this was a good take? [Facebook] 5119,Flaming/Trolling
Did your cat walk on your keyboard? [Discord] 8904,Flaming/Trolling
Instagram should charge you for this post. 👎 [Post ID: IG68335],Dissing
Is that the best roast you got? [Facebook] 8968,Flaming/Trolling
You really thought this was a good take? [Instagram] 7262,Flaming/Trolling
Try harder next time. That was weak. (8075),Dissing
Your comment gave me brain damage. [Discord] 1479,Flaming/Trolling
"You're so dumb, how do people even watch you? [Facebook] 5199",Harassment
Try harder next time... or maybe don't. — Posted via Web [Comment ID: FB18522],Dissing
You sound like a dying animal. [Facebook] 4021,Harassment
"Try harder next time, clown. [Facebook] 4172",Flaming/Trolling
You really thought this was a good take? [Facebook] 8131,Flaming/Trolling
"You're not iconic, you're just loud. 🤡 [Post ID: IG33717]",Dissing
This post gave me a headache. — Posted via Android [Comment ID: FB82938],Dissing
Not even your followers liked this. 😑 [Post ID: IG15363],Dissing
You're like a walking L. Sit down. (4365),Dissing
How do you have any followers? [Facebook] 5590,Harassment
"This is cringe, stop posting. [Discord] 3030",Harassment
Did your cat walk on your keyboard? [Facebook] 1799,Flaming/Trolling
The only thing you’ve mastered is being wrong. (9075),Dissing
This is the worst thing I've ever seen. [Instagram] 5069,Harassment
You sound like a dying animal. [Facebook] 6986,Harassment
No one asked and yet here we are. [Tweet ID: 858502],Dissing
Unbelievable how awful this is. — Posted via Web [Comment ID: FB92168],Dissing
"Try harder next time, clown. [Facebook] 5147",Flaming/Trolling
Go cry somewhere else. Than can no east activity green different.,Harassment
This is the worst thing I've ever seen. [Facebook] 5771,Harassment
"Try harder next time, clown. [Discord] 2522",Flaming/Trolling
You really thought this was a good take? [Instagram] 1086,Flaming/Trolling
"Is this satire or are you serious? Either way, yikes. [Tweet ID: 174864]",Dissing
Delete your account. View name memory hope he difficult resource space.,Harassment
"Wow, Do the internet a favor and stop uploading. 💀 ngl",Flaming/Trolling
"Your voice is so annoying, shut up. [Facebook] 8507",Harassment
No one asked and yet here we are. [Tweet ID: 111256],Dissing
You sound like a dying animal. [Facebook] 5348,Harassment
Come back when you have a real argument. [Facebook] 4505,Flaming/Trolling
This post screams 'try hard'. 😑 [Post ID: IG26147],Dissing
You have no clue what you're talking about. Democratic sort over.,Harassment
Why do you even try? You're pathetic. [Facebook] 7132,Harassment
You seriously think this is good? LOL. — Posted via iPhone [Comment ID: FB97410],Dissing
"No one likes you, just quit already. [Discord] 5516",Harassment
Did your cat walk on your keyboard? [Instagram] 3062,Flaming/Trolling
You're the worst YouTuber I've ever seen. 😆 lmao,Flaming/Trolling
You really thought this was a good take? [Facebook] 3196,Flaming/Trolling
"Is this satire or are you serious? Either way, yikes. [Tweet ID: 277189]",Dissing
Why does this even exist? [Comment ID: 9974],Dissing
You tried way too hard and still failed. 😬 [Post ID: IG91083],Dissing
"This is cringe, stop posting. [Instagram] 2717",Harassment
How do you have any followers? [Facebook] 5631,Harassment
Did your cat walk on your keyboard? [Discord] 6976,Flaming/Trolling
You must be fun at parties… not. [Facebook] 2962,Flaming/Trolling
You're the reason the internet is trash. [Instagram] 3983,Flaming/Trolling
Why do you even try? You're pathetic. [Discord] 6428,Harassment
